Kecamatan; Price ;Kamar Tidur;Kamar Mandi;Luas Tanah;Luas Bangunan;Sertifikat;Daya Listrik;Ruang Makan;Ruang Tamu;Kondisi Perabotan;Jumlah Lantai;Hadap;Terjangkau Internet;Lebar Jalan;Sumber Air;Hook;Kondisi Properti
tambaksari; 670.000.000 ;2;1;188;160;SHM - Sertifikat Hak Milik;4400;Ya;Ya;Unfurnished;1;Utara;Ya;1 Mobil;Sumur Pompa;Ya;Bagus
kenjeran; 675.000.000 ;3;2;45;90;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 675.000.000 ;3;2;50;60;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 675.000.000 ;3;2;50;60;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Timur;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 675.000.000 ;3;2;50;60;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 675.000.000 ;3;2;50;75;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 675.000.000 ;3;2;50;70;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 675.000.000 ;3;2;50;70;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 675.000.000 ;3;2;50;70;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
pakal; 675.000.000 ;2;1;74;60;HGB - Hak Guna Bangunan;1300;;Ya;Unfurnished;2;;Tidak;;PAM atau PDAM;Tidak;Bagus
rungkut; 675.000.000 ;3;1;88;50;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Baru
rungkut; 675.000.000 ;3;1;88;50;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Baru
rungkut; 675.000.000 ;3;1;88;60;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Baru
rungkut; 675.000.000 ;3;1;88;60;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 675.000.000 ;3;1;88;60;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 675.000.000 ;3;1;88;60;SHM - Sertifikat Hak Milik;1300;;Tidak;Unfurnished;1;Utara;Tidak;2 Mobil;PAM atau PDAM;Tidak;Bagus
lakarsantri; 675.000.000 ;3;1;90;90;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
lakarsantri; 675.000.000 ;3;1;90;72;SHM - Sertifikat Hak Milik;2200;;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus
rungkut; 675.000.000 ;3;1;110;60;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 680.000.000 ;3;2;54;75;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Ya;Baru
sukolilo; 680.000.000 ;2;1;60;56;SHM - Sertifikat Hak Milik;1300;;Ya;Unfurnished;1;Selatan;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
benowo; 680.000.000 ;2;1;72;126;Lainnya (PPJB,Girik,Adat,dll);2200;Ya;Ya;Unfurnished;1;;Ya;;PAM atau PDAM;Tidak;Bagus
benowo; 680.000.000 ;2;1;72;126;Lainnya (PPJB,Girik,Adat,dll);2200;Ya;Ya;Unfurnished;1;;Ya;1 Mobil;PAM atau PDAM;Tidak;Bagus
lakarsantri; 682.000.000 ;2;2;52;50;Lainnya (PPJB,Girik,Adat,dll);;;;Unfurnished;2;;;;;;Baru
lakarsantri; 683.000.000 ;2;2;50;52;HGB - Hak Guna Bangunan;2200;;;Unfurnished;2;Utara;;;;;Baru
rungkut; 685.000.000 ;2;1;90;50;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 685.000.000 ;2;1;90;50;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 685.000.000 ;2;1;90;50;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 685.000.000 ;2;1;90;50;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
kenjeran; 690.000.000 ;3;2;57;114;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
pakal; 690.000.000 ;2;2;79;60;HGB - Hak Guna Bangunan;1300;;Ya;Unfurnished;2;;Tidak;;PAM atau PDAM;Tidak;Bagus
rungkut; 697.000.000 ;2;1;52;53;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 697.000.000 ;1;1;52;53;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 697.000.000 ;2;1;52;53;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 697.000.000 ;2;1;52;53;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
sambikerep; 697.000.000 ;1;1;288;307;SHM - Sertifikat Hak Milik;3300;Tidak;Tidak;Unfurnished;1;Utara;Ya;2 Mobil;;Ya;Butuh Renovasi
benowo; 698.000.000 ;2;2;65;66;HGB - Hak Guna Bangunan;2200;Tidak;Tidak;Unfurnished;2;Selatan;Tidak;;;Tidak;Baru
benowo; 699.000.000 ;4;2;72;144;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus
sukolilo; 700.000.000 ;2;2;45;70;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;2;Barat;Tidak;;;Tidak;Baru
tambaksari; 700.000.000 ;2;2;45;90;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 700.000.000 ;3;2;48;63;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;2;Selatan;Tidak;;PAM atau PDAM;Tidak;Baru
rungkut; 700.000.000 ;3;2;48;63;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;2;Selatan;Tidak;;PAM atau PDAM;Tidak;Baru
rungkut; 700.000.000 ;3;2;50;66;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 700.000.000 ;3;2;50;80;HGB - Hak Guna Bangunan;;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;;Tidak;Baru
sukolilo; 700.000.000 ;3;2;50;65;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;2;Utara;Tidak;2 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 700.000.000 ;3;2;54;60;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
kenjeran; 700.000.000 ;3;2;60;63;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Baru
wiyung; 700.000.000 ;2;2;60;120;SHM - Sertifikat Hak Milik;2200;;;Unfurnished;2;;;;;;Bagus
sukolilo; 700.000.000 ;2;1;67;52;SHM - Sertifikat Hak Milik;1300;;;Unfurnished;1;Utara;;;;;Bagus
benowo; 700.000.000 ;3;2;72;72;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
benowo; 700.000.000 ;2;1;72;60;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
rungkut; 700.000.000 ;3;1;72;64;HGB - Hak Guna Bangunan;2200;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
tambaksari; 700.000.000 ;2;1;78;78;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;;Ya;;PAM atau PDAM;Tidak;Bagus
wiyung; 700.000.000 ;2;1;81;80;SHM - Sertifikat Hak Milik;;;;Unfurnished;1;;;;;;Bagus
wiyung; 700.000.000 ;2;1;81;80;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
tambaksari; 700.000.000 ;3;2;84;100;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus
wiyung; 700.000.000 ;3;1;84;60;SHM - Sertifikat Hak Milik;;;;Unfurnished;1;;;;;;Bagus
wiyung; 700.000.000 ;3;1;84;60;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
krembangan; 700.000.000 ;1;1;86;111;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Butuh Renovasi
benowo; 700.000.000 ;3;1;90;85;HGB - Hak Guna Bangunan;1300;;;Unfurnished;1;;;;;;Bagus
rungkut; 700.000.000 ;2;1;90;90;SHM - Sertifikat Hak Milik;2200;;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus
sambikerep; 700.000.000 ;2;2;90;92;SHM - Sertifikat Hak Milik;900;Tidak;Tidak;Unfurnished;1;Timur;Ya;;;Tidak;Baru
semampir; 700.000.000 ;3;1;90;85;HGB - Hak Guna Bangunan;1300;;;Unfurnished;1;;;;;;Bagus
sukomanunggal; 700.000.000 ;2;1;90;75;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Butuh Renovasi
pakal; 700.000.000 ;2;1;91;50;SHM - Sertifikat Hak Milik;1300;;;Unfurnished;1;Selatan;;;;;Baru
rungkut; 700.000.000 ;2;1;95;65;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 700.000.000 ;2;1;95;65;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 700.000.000 ;2;1;95;65;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;
pakal; 700.000.000 ;2;1;97;105;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
kenjeran; 700.000.000 ;2;1;100;90;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Butuh Renovasi
rungkut; 700.000.000 ;2;1;100;60;Lainnya (PPJB,Girik,Adat,dll);1300;Tidak;Tidak;Unfurnished;1;Selatan;Tidak;;;Tidak;Baru
rungkut; 700.000.000 ;3;1;100;55;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 700.000.000 ;3;1;100;55;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Selatan;Ya;1 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 700.000.000 ;3;1;100;55;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Utara;Ya;1 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 700.000.000 ;3;1;100;60;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Selatan;Ya;1 Mobil;PAM atau PDAM;Tidak;Baru
tambaksari; 700.000.000 ;2;1;100;100;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus
gubeng; 700.000.000 ;3;1;104;110;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus
pakal; 700.000.000 ;2;1;105;70;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;Utara;Ya;;;Tidak;Bagus
benowo; 700.000.000 ;3;1;112;70;SHM - Sertifikat Hak Milik;1300;;;Unfurnished;1;Utara;;;;;Bagus
lakarsantri; 700.000.000 ;2;1;112;60;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
tambaksari; 700.000.000 ;3;1;112;90;SHM - Sertifikat Hak Milik;900;;;Unfurnished;1;;;;;;Butuh Renovasi
pakal; 700.000.000 ;3;2;120;80;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Utara;Ya;;;Tidak;Bagus
sambikerep; 700.000.000 ;3;2;135;260;HGB - Hak Guna Bangunan;1300;Ya;Ya;Unfurnished;1;Utara;Tidak;;PAM atau PDAM;Tidak;Bagus
gubeng; 700.000.000 ;6;3;160;220;Lainnya (PPJB,Girik,Adat,dll);2200;Ya;Ya;Unfurnished;2;Selatan;Tidak;1 Mobil;PAM atau PDAM;Tidak;Bagus
